Angle, TimePerStep, Intensity
14.867157118, 10.160, 61.0
14.875512752, 10.160, 67.0
14.883868387, 10.160, 59.0
14.892224021, 10.160, 59.0
14.900579656, 10.160, 63.0
14.908935290, 10.160, 54.0
14.917290925, 10.160, 51.0
14.925646559, 10.160, 45.0
14.934002194, 10.160, 68.0
14.942357828, 10.160, 66.0
14.950713463, 10.160, 61.0
14.959069097, 10.160, 73.0
14.967424732, 10.160, 47.0
14.975780367, 10.160, 59.0
14.984136001, 10.160, 50.0
14.992491636, 10.160, 45.0
15.000847270, 10.160, 60.0
15.009202905, 10.160, 45.0
15.017558539, 10.160, 43.0
15.025914174, 10.160, 51.0
15.034269808, 10.160, 74.0
15.042625443, 10.160, 61.0
15.050981077, 10.160, 51.0
15.059336712, 10.160, 40.0
15.067692346, 10.160, 54.0
15.076047981, 10.160, 65.0
15.084403615, 10.160, 66.0
15.092759250, 10.160, 77.0
15.101114885, 10.160, 56.0
15.109470519, 10.160, 56.0
15.117826154, 10.160, 65.0
15.126181788, 10.160, 56.0
15.134537423, 10.160, 69.0
15.142893057, 10.160, 63.0
15.151248692, 10.160, 48.0
15.159604326, 10.160, 53.0
15.167959961, 10.160, 45.0
15.176315595, 10.160, 58.0
15.184671230, 10.160, 56.0
15.193026864, 10.160, 47.0
15.201382499, 10.160, 64.0
15.209738133, 10.160, 67.0
15.218093768, 10.160, 44.0
15.226449403, 10.160, 56.0
15.234805037, 10.160, 65.0
15.243160672, 10.160, 55.0
15.251516306, 10.160, 47.0
15.259871941, 10.160, 60.0
15.268227575, 10.160, 58.0
15.276583210, 10.160, 53.0
15.284938844, 10.160, 53.0
15.293294479, 10.160, 55.0
15.301650113, 10.160, 54.0
15.310005748, 10.160, 54.0
15.318361382, 10.160, 43.0
15.326717017, 10.160, 73.0
15.335072651, 10.160, 60.0
15.343428286, 10.160, 55.0
15.351783921, 10.160, 53.0
15.360139555, 10.160, 60.0
15.368495190, 10.160, 63.0
15.376850824, 10.160, 47.0
15.385206459, 10.160, 61.0
15.393562093, 10.160, 61.0
15.401917728, 10.160, 57.0
15.410273362, 10.160, 69.0
15.418628997, 10.160, 67.0
15.426984631, 10.160, 63.0
15.435340266, 10.160, 58.0
15.443695900, 10.160, 56.0
15.452051535, 10.160, 54.0
15.460407169, 10.160, 60.0
15.468762804, 10.160, 65.0
15.477118438, 10.160, 45.0
15.485474073, 10.160, 56.0
15.493829708, 10.160, 51.0
15.502185342, 10.160, 57.0
15.510540977, 10.160, 50.0
15.518896611, 10.160, 55.0
15.527252246, 10.160, 59.0
15.535607880, 10.160, 65.0
15.543963515, 10.160, 46.0
15.552319149, 10.160, 67.0
15.560674784, 10.160, 55.0
15.569030418, 10.160, 65.0
15.577386053, 10.160, 47.0
15.585741687, 10.160, 49.0
15.594097322, 10.160, 56.0
15.602452956, 10.160, 48.0
15.610808591, 10.160, 50.0
15.619164226, 10.160, 51.0
15.627519860, 10.160, 39.0
15.635875495, 10.160, 69.0
15.644231129, 10.160, 59.0
15.652586764, 10.160, 63.0
15.660942398, 10.160, 37.0
15.669298033, 10.160, 42.0
15.677653667, 10.160, 46.0
15.686009302, 10.160, 55.0
15.694364936, 10.160, 57.0
15.702720571, 10.160, 58.0
15.711076205, 10.160, 58.0
15.719431840, 10.160, 48.0
15.727787474, 10.160, 59.0
15.736143109, 10.160, 57.0
15.744498744, 10.160, 53.0
15.752854378, 10.160, 51.0
15.761210013, 10.160, 58.0
15.769565647, 10.160, 59.0
15.777921282, 10.160, 54.0
15.786276916, 10.160, 63.0
15.794632551, 10.160, 45.0
15.802988185, 10.160, 56.0
15.811343820, 10.160, 45.0
15.819699454, 10.160, 55.0
15.828055089, 10.160, 57.0
15.836410723, 10.160, 51.0
15.844766358, 10.160, 66.0
15.853121992, 10.160, 64.0
15.861477627, 10.160, 59.0
15.869833261, 10.160, 55.0
15.878188896, 10.160, 70.0
15.886544531, 10.160, 64.0
15.894900165, 10.160, 44.0
15.903255800, 10.160, 74.0
15.911611434, 10.160, 70.0
15.919967069, 10.160, 56.0
15.928322703, 10.160, 48.0
15.936678338, 10.160, 47.0
15.945033972, 10.160, 54.0
15.953389607, 10.160, 57.0
15.961745241, 10.160, 44.0
15.970100876, 10.160, 63.0
15.978456510, 10.160, 46.0
15.986812145, 10.160, 61.0
15.995167779, 10.160, 51.0
16.003523414, 10.160, 54.0
16.011879049, 10.160, 61.0
16.020234683, 10.160, 63.0
16.028590318, 10.160, 58.0
16.036945952, 10.160, 60.0
16.045301587, 10.160, 56.0
16.053657221, 10.160, 57.0
16.062012856, 10.160, 60.0
16.070368490, 10.160, 63.0
16.078724125, 10.160, 47.0
16.087079759, 10.160, 61.0
16.095435394, 10.160, 57.0
16.103791028, 10.160, 48.0
16.112146663, 10.160, 57.0
16.120502297, 10.160, 53.0
16.128857932, 10.160, 50.0
16.137213567, 10.160, 42.0
16.145569201, 10.160, 64.0
16.153924836, 10.160, 64.0
16.162280470, 10.160, 43.0
16.170636105, 10.160, 60.0
16.178991739, 10.160, 63.0
16.187347374, 10.160, 49.0
16.195703008, 10.160, 45.0
16.204058643, 10.160, 54.0
16.212414277, 10.160, 50.0
16.220769912, 10.160, 53.0
16.229125546, 10.160, 46.0
16.237481181, 10.160, 58.0
16.245836815, 10.160, 60.0
16.254192450, 10.160, 70.0
16.262548084, 10.160, 50.0
16.270903719, 10.160, 55.0
16.279259354, 10.160, 63.0
16.287614988, 10.160, 61.0
16.295970623, 10.160, 53.0
16.304326257, 10.160, 67.0
16.312681892, 10.160, 68.0
16.321037526, 10.160, 56.0
16.329393161, 10.160, 44.0
16.337748795, 10.160, 56.0
16.346104430, 10.160, 55.0
16.354460064, 10.160, 63.0
16.362815699, 10.160, 71.0
16.371171333, 10.160, 56.0
16.379526968, 10.160, 54.0
16.387882602, 10.160, 56.0
16.396238237, 10.160, 69.0
16.404593872, 10.160, 48.0
16.412949506, 10.160, 59.0
16.421305141, 10.160, 50.0
16.429660775, 10.160, 75.0
16.438016410, 10.160, 61.0
16.446372044, 10.160, 65.0
16.454727679, 10.160, 55.0
16.463083313, 10.160, 58.0
16.471438948, 10.160, 58.0
16.479794582, 10.160, 53.0
16.488150217, 10.160, 54.0
16.496505851, 10.160, 54.0
16.504861486, 10.160, 54.0
16.513217120, 10.160, 54.0
16.521572755, 10.160, 50.0
16.529928390, 10.160, 65.0
16.538284024, 10.160, 49.0
16.546639659, 10.160, 60.0
16.554995293, 10.160, 61.0
16.563350928, 10.160, 55.0
16.571706562, 10.160, 66.0
16.580062197, 10.160, 56.0
16.588417831, 10.160, 58.0
16.596773466, 10.160, 59.0
16.605129100, 10.160, 67.0
16.613484735, 10.160, 53.0
16.621840369, 10.160, 63.0
16.630196004, 10.160, 54.0
16.638551638, 10.160, 47.0
16.646907273, 10.160, 61.0
16.655262907, 10.160, 50.0
16.663618542, 10.160, 49.0
16.671974177, 10.160, 60.0
16.680329811, 10.160, 67.0
16.688685446, 10.160, 60.0
16.697041080, 10.160, 63.0
16.705396715, 10.160, 55.0
16.713752349, 10.160, 47.0
16.722107984, 10.160, 56.0
16.730463618, 10.160, 53.0
16.738819253, 10.160, 58.0
16.747174887, 10.160, 64.0
16.755530522, 10.160, 60.0
16.763886156, 10.160, 55.0
16.772241791, 10.160, 56.0
16.780597425, 10.160, 65.0
16.788953060, 10.160, 60.0
16.797308695, 10.160, 56.0
16.805664329, 10.160, 55.0
16.814019964, 10.160, 49.0
16.822375598, 10.160, 53.0
16.830731233, 10.160, 60.0
16.839086867, 10.160, 59.0
16.847442502, 10.160, 51.0
16.855798136, 10.160, 60.0
16.864153771, 10.160, 66.0
16.872509405, 10.160, 48.0
16.880865040, 10.160, 64.0
16.889220674, 10.160, 57.0
16.897576309, 10.160, 65.0
16.905931943, 10.160, 68.0
16.914287578, 10.160, 47.0
16.922643213, 10.160, 49.0
16.930998847, 10.160, 65.0
16.939354482, 10.160, 47.0
16.947710116, 10.160, 65.0
16.956065751, 10.160, 65.0
16.964421385, 10.160, 53.0
16.972777020, 10.160, 67.0
16.981132654, 10.160, 60.0
16.989488289, 10.160, 55.0
16.997843923, 10.160, 50.0
17.006199558, 10.160, 43.0
17.014555192, 10.160, 45.0
17.022910827, 10.160, 50.0
17.031266461, 10.160, 58.0
17.039622096, 10.160, 54.0
17.047977731, 10.160, 55.0
17.056333365, 10.160, 45.0
17.064689000, 10.160, 51.0
17.073044634, 10.160, 55.0
17.081400269, 10.160, 63.0
17.089755903, 10.160, 44.0
17.098111538, 10.160, 59.0
17.106467172, 10.160, 61.0
17.114822807, 10.160, 30.0
17.123178441, 10.160, 59.0
17.131534076, 10.160, 58.0
17.139889710, 10.160, 50.0
17.148245345, 10.160, 57.0
17.156600979, 10.160, 66.0
17.164956614, 10.160, 53.0
17.173312248, 10.160, 64.0
17.181667883, 10.160, 53.0
17.190023518, 10.160, 47.0
17.198379152, 10.160, 54.0
17.206734787, 10.160, 49.0
17.215090421, 10.160, 54.0
17.223446056, 10.160, 65.0
17.231801690, 10.160, 65.0
17.240157325, 10.160, 51.0
17.248512959, 10.160, 51.0
17.256868594, 10.160, 55.0
